institution_id,total_students,ug_students,pg_students,total_faculty,required_faculty,faculty_phd_count,total_labs,total_classrooms,computer_count,library_books,total_area_sqft,hostel_capacity,annual_budget,naac_grade,iso_certified,nba_programs,faculty_ratio,phd_percentage,area_per_student,computer_student_ratio,faculty_shortage_amt,risk_score,risk_level,approved,approval_probability
33,2611,2035,576,186,175,41,8,40,630,11089,48197,0,71.78954606,B++,1,2,14.03763441,0.220430108,18.45921103,4.144444444,0,27,Low,1,78.07266346
34,1403,1017,386,130,94,34,24,23,409,15221,21671,0,5.565077235,A,1,2,10.79230769,0.261538462,15.44618674,3.430317848,0,20,Low,1,83.98742102
35,1930,1353,577,128,129,56,23,31,494,18611,43063,0,62.71196999,A+,1,2,15.078125,0.4375,22.31243523,3.906882591,1,35,Medium,1,60.47841687
36,2374,1735,639,92,159,31,16,57,935,23050,42705,0,15.41185801,A++,1,3,25.80434783,0.336956522,17.98862679,2.539037433,67,23,Low,1,79.25757971
37,2379,1859,520,138,159,71,32,57,447,5065,49540,0,20.122049,A+,1,3,17.23913043,0.514492754,20.82387558,5.322147651,21,42,Medium,1,62.73808469
38,1574,1220,354,139,105,46,22,25,537,13086,22855,314,9.996433429,A,1,2,11.32374101,0.330935252,14.52033037,2.931098696,0,22,Low,1,73.59060552
39,2261,1980,281,215,151,81,29,36,442,14741,56446,0,7.514932605,B++,0,3,10.51627907,0.376744186,24.96505971,5.115384615,0,16,Low,1,81.77681221
40,1415,1194,221,81,95,35,23,23,470,6532,27758,283,30.68931929,A,1,3,17.4691358,0.432098765,19.61696113,3.010638298,14,41,Medium,1,57.65582912
41,1404,1186,218,73,94,37,27,34,276,16636,30679,561,50.50362848,B++,0,3,19.23287671,0.506849315,21.8511396,5.086956522,21,38,Medium,1,67.47095759
42,300,213,87,27,20,7,16,7,83,21585,6612,60,39.92750917,B++,0,1,11.11111111,0.259259259,22.04,3.614457831,0,23,Low,1,76.04544254
43,2081,1697,384,174,139,45,23,44,352,9414,27680,0,16.14970458,B++,1,3,11.95977011,0.25862069,13.30129745,5.911931818,0,45,Medium,1,58.37140234
44,1696,1251,445,117,114,19,7,29,332,26108,28969,1017,41.08159613,B++,0,0,14.4957265,0.162393162,17.0807783,5.108433735,0,15,Low,1,82.16140483
45,1600,1361,239,120,107,43,34,23,292,12645,35217,960,7.032199438,A,1,1,13.33333333,0.358333333,22.010625,5.479452055,0,10,Low,1,89.34827427
46,2250,1682,568,110,150,20,34,36,422,28171,30707,0,35.47942312,A,1,3,20.45454545,0.181818182,13.64755556,5.331753555,40,61,High,0,40.65159534
47,2583,2171,412,181,173,51,6,50,485,20983,57798,0,35.70587391,B++,1,3,14.27071823,0.281767956,22.37630662,5.325773196,0,19,Low,1,86.51650941
48,1902,1493,409,131,127,20,27,33,627,16366,26685,1141,14.92071583,,1,4,14.51908397,0.152671756,14.02996845,3.033492823,0,49,Medium,1,50.25651788
49,1188,949,239,68,80,14,30,24,395,17513,16578,0,54.87775059,A+,0,2,17.47058824,0.205882353,13.95454545,3.007594937,12,66,High,0,34.99279181
50,509,395,114,38,34,10,15,8,119,31650,7805,101,15.12509581,B++,1,1,13.39473684,0.263157895,15.33398821,4.277310924,0,19,Low,1,82.17999878
51,2009,1790,219,146,134,49,19,39,416,6609,30468,1205,37.6120504,A,0,3,13.76027397,0.335616438,15.16575411,4.829326923,0,18,Low,1,80.76240682
52,1733,1277,456,133,116,48,33,27,373,21671,40022,0,72.75228595,B+,1,0,13.03007519,0.360902256,23.09405655,4.646112601,0,11,Low,1,87.44827192
53,1904,1556,348,64,127,12,9,41,516,12764,39918,0,40.56606625,B,0,2,29.75,0.1875,20.96533613,3.689922481,63,43,Medium,1,59.50516672
54,861,727,134,75,58,13,32,15,262,21942,12681,172,70.74990334,B++,1,1,11.48,0.173333333,14.728223,3.286259542,0,40,Medium,1,57.81167165
55,732,648,84,48,49,18,8,14,218,10558,10303,439,60.31867262,A,1,1,15.25,0.375,14.07513661,3.357798165,1,51,Medium,0,45.16101217
56,1768,1373,395,124,118,52,32,25,749,22874,23468,353,50.05988348,,0,1,14.25806452,0.419354839,13.27375566,2.360480641,0,32,Medium,1,73.6908537
57,1501,1119,382,96,101,15,33,23,332,10990,36562,600,71.28394137,,0,1,15.63541667,0.15625,24.35842771,4.521084337,5,60,High,0,45.24265469
58,2109,1570,539,127,141,30,25,36,891,12099,38077,1265,40.75076212,A++,0,0,16.60629921,0.236220472,18.05452821,2.367003367,14,39,Medium,1,63.53367331
59,1619,1371,248,81,108,12,23,39,276,8172,33085,971,56.24440727,A++,0,3,19.98765432,0.148148148,20.43545398,5.865942029,27,59,Medium,0,35.34091929
60,324,283,41,24,22,11,35,4,67,19019,6440,64,12.93755704,B+,1,4,13.5,0.458333333,19.87654321,4.835820896,0,12,Low,1,85.29050438
61,2375,2094,281,126,159,28,24,47,964,21898,26745,475,52.55042773,B++,0,0,18.84920635,0.222222222,11.26105263,2.463692946,33,58,Medium,0,49.8872664
62,1714,1416,298,122,115,63,29,25,754,23589,19775,342,58.14290035,B++,1,0,14.04918033,0.516393443,11.53733956,2.273209549,0,16,Low,1,81.06725956
63,3519,2919,600,134,235,23,33,68,1169,26063,78553,1407,38.44270298,A,0,2,26.26119403,0.171641791,22.32253481,3.010265184,101,49,Medium,1,55.9365445
64,2809,2119,690,248,188,131,38,53,763,5181,34454,0,38.17240718,A,1,2,11.3266129,0.528225806,12.26557494,3.681520315,0,42,Medium,1,60.01384146
65,2420,1966,454,262,162,55,10,56,634,2000,31594,484,62.07679932,B+,1,0,9.236641221,0.209923664,13.0553719,3.8170347,0,48,Medium,1,55.54501879
66,1719,1243,476,155,115,31,12,32,433,16024,34867,0,49.26979542,B++,0,1,11.09032258,0.2,20.28330425,3.969976905,0,20,Low,1,75.31488998
67,3256,2913,343,266,218,120,30,48,651,25197,79087,0,23.15337619,,1,3,12.2406015,0.45112782,24.28961916,5.001536098,0,17,Low,1,83.18830117
68,1557,1114,443,101,104,31,29,27,299,11052,18669,0,76.36624808,A+,0,3,15.41584158,0.306930693,11.99036609,5.20735786,3,56,Medium,1,50.32598626
69,2303,1894,409,234,154,86,21,36,1064,13357,43669,1381,59.86921413,A+,1,1,9.841880342,0.367521368,18.96178897,2.164473684,0,0,Low,1,102.1208297
70,2270,1888,382,129,152,45,12,36,379,15304,41610,454,35.24460208,A,1,2,17.59689922,0.348837209,18.33039648,5.98944591,23,35,Medium,1,64.54120338
71,2252,1957,295,202,151,92,22,40,517,21059,39573,450,59.39432453,B++,0,2,11.14851485,0.455445545,17.57238011,4.35589942,0,15,Low,1,85.89637302
72,2279,1883,396,104,152,46,36,37,838,17590,27287,0,37.78740416,A+,1,3,21.91346154,0.442307692,11.97323387,2.719570406,48,44,Medium,0,49.37461765
73,2765,2156,609,263,185,81,35,58,733,27300,37480,1659,43.98304614,A,0,1,10.51330798,0.307984791,13.55515371,3.772169168,0,37,Medium,1,67.25110871
74,1486,1051,435,90,100,40,34,27,284,23242,29656,891,45.49293796,A++,0,0,16.51111111,0.444444444,19.95693136,5.232394366,10,38,Medium,1,55.81329177
75,2366,1741,625,225,158,69,5,39,718,21175,40691,0,70.09387209,B++,1,2,10.51555556,0.306666667,17.19822485,3.295264624,0,7,Low,1,96.2213408
76,2048,1615,433,114,137,56,34,33,354,14752,25922,0,67.31578935,B,0,0,17.96491228,0.49122807,12.65722656,5.785310734,23,64,High,0,39.09014355
77,1926,1666,260,155,129,44,16,33,352,29522,23861,0,70.30650878,B,1,3,12.42580645,0.283870968,12.38888889,5.471590909,0,43,Medium,1,59.84975153
78,2449,1927,522,189,164,90,5,43,742,4775,28905,0,33.53147782,B++,1,2,12.95767196,0.476190476,11.80277664,3.300539084,0,33,Medium,1,61.05756639
79,2080,1723,357,138,139,50,36,31,395,27963,50486,0,33.51467141,A,1,6,15.07246377,0.362318841,24.27211538,5.265822785,1,37,Medium,1,64.40595712
80,1893,1347,546,124,127,64,22,43,625,7091,28914,757,44.919516,B++,1,4,15.26612903,0.516129032,15.27416799,3.0288,3,39,Medium,1,58.29838908
81,2262,1716,546,129,151,66,33,53,647,19226,37024,0,52.48635317,,1,3,17.53488372,0.511627907,16.36781609,3.496136012,22,40,Medium,1,68.74788372
82,680,582,98,37,46,9,28,12,285,8317,15190,136,16.47378506,A,0,2,18.37837838,0.243243243,22.33823529,2.385964912,9,52,Medium,0,42.68299177
83,1133,839,294,50,76,20,14,25,258,21021,12323,226,35.32390761,B++,0,2,22.66,0.4,10.87643425,4.391472868,26,58,Medium,0,39.32925825
84,339,242,97,25,23,4,16,7,116,10307,7936,0,67.38973349,B+,1,2,13.56,0.16,23.4100295,2.922413793,0,9,Low,1,85.52358274
85,2459,1945,514,102,164,55,25,49,1044,4362,41053,0,18.14772068,B+,1,1,24.10784314,0.539215686,16.69499797,2.355363985,62,37,Medium,1,61.46609804
86,2982,2561,421,138,199,71,10,57,499,15583,40315,0,55.36688327,A+,1,4,21.60869565,0.514492754,13.51945003,5.975951904,61,57,Medium,0,39.58982808
87,742,575,167,34,50,12,37,15,135,9250,16605,148,73.95439799,B++,0,3,21.82352941,0.352941176,22.3787062,5.496296296,16,44,Medium,1,61.83151374
88,2311,1758,553,177,155,32,29,51,682,15404,37079,0,48.13725129,B++,1,1,13.05649718,0.18079096,16.04456945,3.38856305,0,20,Low,1,81.43458714
89,1695,1466,229,90,113,30,7,36,331,17812,29817,1017,37.43734087,A,1,1,18.83333333,0.333333333,17.59115044,5.120845921,23,31,Medium,1,71.99964365
90,3177,2320,857,276,212,48,7,59,531,16189,68977,0,37.27528831,A+,1,2,11.51086957,0.173913043,21.71136292,5.983050847,0,18,Low,1,86.68629045
91,3169,2619,550,172,212,40,34,53,647,9053,39949,0,71.49531614,B++,1,2,18.4244186,0.23255814,12.60618492,4.897990726,40,75,High,0,28.810992
92,1773,1411,362,113,119,17,9,28,428,7047,24639,1063,53.45675926,B++,1,1,15.69026549,0.150442478,13.89678511,4.142523364,6,72,High,0,26.05201697
93,2298,1908,390,170,154,83,9,33,954,24647,36505,1378,28.65551718,B+,1,2,13.51764706,0.488235294,15.88555265,2.408805031,0,0,Low,1,104.606748
94,3069,2697,372,266,205,107,23,73,1180,15709,58952,0,8.58731153,A++,0,2,11.53759398,0.402255639,19.20886282,2.600847458,0,8,Low,1,92.05011651
95,1311,1019,292,92,88,49,17,20,359,14854,31640,0,54.52270398,B+,1,0,14.25,0.532608696,24.13424867,3.651810585,0,12,Low,1,84.21602456
96,520,385,135,47,35,9,27,8,126,9851,9997,312,13.5467476,B++,0,2,11.06382979,0.191489362,19.225,4.126984127,0,33,Medium,1,62.85481271
97,1981,1535,446,60,133,12,28,29,497,22794,27945,0,53.43581095,A,0,4,33.01666667,0.2,14.10651186,3.985915493,73,71,High,0,28.29978574
98,2599,2160,439,205,174,45,37,37,1196,14245,47237,1039,11.89031658,,1,1,12.67804878,0.219512195,18.17506733,2.173076923,0,19,Low,1,88.39063413
99,1353,1148,205,70,91,14,35,23,362,16951,15432,811,39.61681058,A++,1,2,19.32857143,0.2,11.40576497,3.737569061,21,68,High,0,29.88594019
100,2034,1722,312,88,136,34,32,40,482,3401,26076,813,68.14777786,B++,1,0,23.11363636,0.386363636,12.820059,4.219917012,48,59,Medium,0,48.81867808
101,674,576,98,39,45,16,6,14,252,12138,6759,404,64.56479985,A+,1,2,17.28205128,0.41025641,10.02818991,2.674603175,6,49,Medium,1,61.03046444
102,3655,3052,603,317,244,149,22,56,1583,13638,51342,731,78.64768928,A,0,2,11.52996845,0.470031546,14.04705882,2.308907138,0,21,Low,1,74.6117879
103,2504,1938,566,199,167,53,22,42,922,22057,31555,1001,35.74286673,B,1,2,12.58291457,0.266331658,12.60183706,2.715835141,0,25,Low,1,69.12764737
104,1325,1064,261,105,89,28,20,27,241,12049,31945,0,37.63852994,,0,1,12.61904762,0.266666667,24.10943396,5.497925311,0,34,Medium,1,64.62885821
105,900,796,104,55,60,14,14,21,290,14853,9602,180,23.71596499,A,0,2,16.36363636,0.254545455,10.66888889,3.103448276,5,66,High,0,33.92990231
106,1891,1479,412,90,127,26,28,46,323,20619,44433,378,67.09012815,B,1,2,21.01111111,0.288888889,23.49709149,5.854489164,37,45,Medium,1,50.81126009
107,2349,1803,546,168,157,90,30,57,639,13948,29938,0,68.79620434,B++,1,0,13.98214286,0.535714286,12.74499787,3.676056338,0,31,Medium,1,72.46552804
108,1958,1583,375,118,131,21,10,35,338,18492,33040,391,69.64901813,B++,0,2,16.59322034,0.177966102,16.87436159,5.792899408,13,50,Medium,1,50.36188793
109,1780,1528,252,55,119,27,31,28,859,14707,32347,1068,70.83725586,B,0,1,32.36363636,0.490909091,18.17247191,2.07217695,64,30,Medium,1,69.61081401
110,1637,1180,457,196,110,80,32,31,279,15906,36556,982,31.75032306,B+,1,2,8.352040816,0.408163265,22.33109346,5.867383513,0,5,Low,1,95.24334368
111,2661,2100,561,122,178,48,10,39,660,16701,41103,1596,20.15117513,A+,0,1,21.81147541,0.393442623,15.4464487,4.031818182,56,44,Medium,1,50.66233543
112,1821,1626,195,164,122,52,27,30,683,13502,45090,728,14.73698367,B+,1,0,11.10365854,0.317073171,24.76112026,2.666178624,0,2,Low,1,95.48948498
113,2302,1785,517,172,154,33,36,33,499,13116,49248,0,31.8348699,B++,0,1,13.38372093,0.191860465,21.39357081,4.613226453,0,25,Low,1,77.73366784
114,1584,1153,431,95,106,27,27,25,353,22986,26540,633,68.28029948,A,1,1,16.67368421,0.284210526,16.75505051,4.487252125,11,43,Medium,1,52.38433695
115,2253,1872,381,141,151,70,7,44,445,10246,29813,0,53.98720929,,0,3,15.9787234,0.496453901,13.23257878,5.062921348,10,68,High,0,35.25190894
116,930,734,196,64,62,21,18,16,157,13499,21360,0,36.60830312,A++,0,0,14.53125,0.328125,22.96774194,5.923566879,0,10,Low,1,92.70434611
117,2596,2253,343,174,174,65,27,46,683,16234,50423,1557,57.77644831,B++,1,1,14.91954023,0.373563218,19.42334361,3.800878477,0,4,Low,1,94.51866278
118,354,269,85,28,24,12,34,5,75,22219,3795,141,51.96321287,B++,0,1,12.64285714,0.428571429,10.72033898,4.72,0,33,Medium,1,71.26175678
119,1183,963,220,54,79,12,23,19,555,21288,20496,473,67.19650995,B,1,2,21.90740741,0.222222222,17.32544379,2.131531532,25,39,Medium,1,59.23993463
120,2597,2048,549,183,174,71,29,44,880,7276,50562,519,64.00627514,,1,1,14.19125683,0.387978142,19.46938776,2.951136364,0,18,Low,1,86.53428848
121,1606,1125,481,109,108,55,20,29,412,11243,21814,642,19.70732846,B+,1,1,14.73394495,0.504587156,13.58281445,3.898058252,0,29,Low,1,67.23921797
122,2087,1674,413,185,140,49,8,40,467,12447,50038,834,48.10846657,A++,1,0,11.28108108,0.264864865,23.97604217,4.468950749,0,17,Low,1,86.79053099
123,1721,1261,460,157,115,78,28,36,540,9325,34530,344,76.62953836,B,1,1,10.96178344,0.496815287,20.06391633,3.187037037,0,22,Low,1,82.48419658
124,1558,1232,326,80,104,23,31,29,682,13201,18408,623,35.95064946,B+,1,3,19.475,0.2875,11.81514763,2.284457478,24,53,Medium,0,49.25816351
125,832,705,127,73,56,39,23,13,219,15934,18553,332,48.28999151,A++,1,3,11.39726027,0.534246575,22.29927885,3.799086758,0,11,Low,1,93.22800757
126,3456,2609,847,187,231,50,32,64,653,2000,75460,2073,5.923227726,A,1,2,18.48128342,0.267379679,21.83449074,5.292496172,44,50,Medium,1,52.24390259
127,873,618,255,61,59,18,32,16,199,2000,8817,0,55.78404798,B+,1,2,14.31147541,0.295081967,10.09965636,4.386934673,0,45,Medium,1,57.12030522
128,1373,1099,274,91,92,48,6,33,386,12929,21642,274,14.75358369,B,1,2,15.08791209,0.527472527,15.76256373,3.556994819,1,39,Medium,1,61.07161629
129,1940,1392,548,94,130,15,39,30,495,17638,47648,0,45.62786093,B+,0,1,20.63829787,0.159574468,24.56082474,3.919191919,36,45,Medium,1,51.89576201
130,1648,1242,406,96,110,51,25,32,644,31592,30266,659,20.54817524,B,0,1,17.16666667,0.53125,18.36529126,2.559006211,14,25,Low,1,74.0509874
131,3096,2619,477,210,207,91,25,70,704,14322,73078,619,45.00399716,B,1,1,14.74285714,0.433333333,23.60400517,4.397727273,0,8,Low,1,96.36584715
132,1687,1511,176,79,113,27,18,29,536,20118,38722,674,50.43164774,,1,3,21.35443038,0.341772152,22.95317131,3.14738806,34,42,Medium,1,65.58760055
133,3325,2863,462,230,222,39,15,56,1122,14938,33407,1330,71.25985722,B++,1,2,14.45652174,0.169565217,10.04721805,2.963458111,0,35,Medium,1,63.79292795
134,2656,1930,726,225,178,60,14,41,934,10715,40851,1062,8.312145213,A,1,0,11.80444444,0.266666667,15.38064759,2.843683084,0,12,Low,1,90.33362734
135,2237,1961,276,126,150,39,29,46,1066,17504,46635,894,31.16154005,A+,0,1,17.75396825,0.30952381,20.84711667,2.098499062,24,28,Low,1,75.04303721
136,1383,1106,277,87,93,40,7,33,382,7015,28498,553,35.09795182,A,1,1,15.89655172,0.459770115,20.60592914,3.620418848,6,40,Medium,1,65.75148013
137,2051,1660,391,122,137,55,35,33,537,3937,26288,1230,51.85878971,A++,1,3,16.81147541,0.450819672,12.81716236,3.819366853,15,66,High,0,47.79830019
138,2153,1623,530,125,144,43,27,48,970,8420,30710,861,19.17796435,B,0,4,17.224,0.344,14.26381793,2.219587629,19,59,Medium,0,41.92450408
139,852,744,108,68,57,35,37,16,181,16211,13918,0,56.52644499,B++,1,2,12.52941176,0.514705882,16.33568075,4.70718232,0,11,Low,1,84.91798007
140,1972,1680,292,133,132,70,8,40,384,11495,40501,0,42.39280996,A,0,1,14.82706767,0.526315789,20.53803245,5.135416667,0,13,Low,1,93.35349793
141,2367,1658,709,146,158,54,17,38,432,17619,38432,473,71.01175534,A,1,2,16.21232877,0.369863014,16.2365864,5.479166667,12,38,Medium,1,66.05031152
142,2767,2155,612,121,185,52,15,41,797,2000,35938,0,56.60333329,A,0,3,22.8677686,0.429752066,12.98807373,3.471769134,64,66,High,0,29.70456029
143,2875,2533,342,235,192,117,31,55,752,7412,30546,1725,62.96911114,B++,0,0,12.23404255,0.49787234,10.62469565,3.823138298,0,40,Medium,1,60.96117382
144,2682,2155,527,145,179,41,15,66,584,20361,41775,1609,20.53211886,A+,0,4,18.49655172,0.282758621,15.57606264,4.592465753,34,50,Medium,1,54.24542725
145,3395,3048,347,236,227,96,32,59,1203,2250,66775,679,19.68748131,A+,1,2,14.38559322,0.406779661,19.66863034,2.822111388,0,9,Low,1,96.70074519
146,3222,2422,800,160,215,46,21,66,579,12441,76562,0,74.79551036,B++,1,0,20.1375,0.2875,23.76225947,5.564766839,55,45,Medium,0,46.55470775
147,1152,981,171,85,77,45,31,16,275,13817,22249,230,37.46120017,A++,1,1,13.55294118,0.529411765,19.31336806,4.189090909,0,8,Low,1,94.94276635
148,361,284,77,26,25,10,39,6,130,18407,4005,144,34.45953319,B,0,1,13.88461538,0.384615385,11.09418283,2.776923077,0,23,Low,1,84.42934138
149,1601,1428,173,121,107,47,18,25,380,18338,36072,640,52.57727667,A,1,2,13.23140496,0.388429752,22.53091818,4.213157895,0,8,Low,1,91.66933693
150,3689,2669,1020,230,246,61,39,54,1692,9805,58904,2213,11.80412767,A++,1,1,16.03913043,0.265217391,15.96747086,2.180260047,16,46,Medium,1,60.22344023
151,300,234,66,15,20,7,12,4,80,20968,3666,180,37.74606423,B++,1,2,20,0.466666667,12.22,3.75,5,54,Medium,1,50.60825056
152,1685,1347,338,154,113,35,16,36,310,2000,31790,1011,67.0060076,A++,0,3,10.94155844,0.227272727,18.86646884,5.435483871,0,31,Medium,1,65.97754196
153,1756,1331,425,112,118,41,7,30,509,20329,31573,0,77.98086222,A,1,1,15.67857143,0.366071429,17.98006834,3.449901768,6,38,Medium,1,66.1027771
154,1573,1196,377,134,105,37,11,24,451,26677,32544,0,33.55172609,B++,0,0,11.73880597,0.276119403,20.68912905,3.487804878,0,17,Low,1,83.66628617
155,300,226,74,18,20,5,9,5,70,33403,7271,0,43.53908482,B++,1,6,16.66666667,0.277777778,24.23666667,4.285714286,2,46,Medium,1,56.10793305
156,2555,1888,667,144,171,41,34,36,531,18662,38412,1022,46.19823286,A,1,3,17.74305556,0.284722222,15.03405088,4.811676083,27,50,Medium,0,48.00424104
157,2069,1778,291,175,138,33,29,37,500,17904,38037,1241,8.875154124,B++,0,2,11.82285714,0.188571429,18.3842436,4.138,0,16,Low,1,89.48576356
158,1369,1037,332,71,92,35,13,21,304,24695,27503,547,52.0995037,A,1,1,19.28169014,0.492957746,20.0898466,4.503289474,21,35,Medium,1,58.86562233
159,1408,1101,307,91,94,45,17,29,602,20623,26868,0,56.40829124,A,1,4,15.47252747,0.494505495,19.08238636,2.338870432,3,23,Low,1,70.36976157
160,1427,1078,349,101,96,26,7,20,350,13156,23517,0,19.23614772,B++,1,1,14.12871287,0.257425743,16.48002803,4.077142857,0,17,Low,1,84.95296953
161,4008,3398,610,320,268,136,11,69,702,31886,48733,2404,27.29680927,A+,1,2,12.525,0.425,12.15893214,5.709401709,0,32,Medium,1,62.25868356
162,2536,1933,603,234,170,60,38,38,1046,19411,48095,1014,62.92257614,B+,1,0,10.83760684,0.256410256,18.96490536,2.424474187,0,11,Low,1,82.08770038
163,3186,2826,360,249,213,59,30,54,1114,15535,66542,637,12.64198257,A++,1,0,12.79518072,0.236947791,20.88575016,2.859964093,0,10,Low,1,90.94830439
164,355,279,76,21,24,9,26,6,78,21460,3598,213,54.04955693,B,1,1,16.9047619,0.428571429,10.13521127,4.551282051,3,52,Medium,0,43.1344232
165,300,222,78,27,20,8,18,4,75,28073,4498,120,45.81904746,A,1,3,11.11111111,0.296296296,14.99333333,4,0,42,Medium,1,56.9534309
166,2765,2084,681,293,185,87,32,46,724,4291,64784,1659,67.52323506,B++,1,1,9.436860068,0.296928328,23.43001808,3.819060773,0,30,Medium,1,70.0134267
167,300,257,43,13,20,5,5,5,105,18416,4834,0,62.33305461,B++,1,1,23.07692308,0.384615385,16.11333333,2.857142857,7,26,Low,1,68.80570105
